chrom window n_snp_win n_red_vs_black n_trou_vs_eunom_nauman n_red_eunom_vs_nauman_black
NC_046221.1 1 30259 3 6 1
NC_046221.1 2 41142 0 4 1
NC_046221.1 3 44598 0 0 5
NC_046221.1 4 45073 2 3 2
NC_046221.1 5 42893 1 3 3
NC_046221.1 6 41684 1 2 2
NC_046221.1 7 44323 0 0 2
NC_046221.1 8 42074 1 1 1
NC_046221.1 9 42124 0 2 1
NC_046221.1 10 43955 1 2 1
NC_046221.1 11 37121 2 3 0
NC_046221.1 12 47274 3 3 4
NC_046221.1 13 31103 2 0 3
NC_046221.1 14 38192 2 0 1
NC_046221.1 15 41644 2 2 3
NC_046221.1 16 43546 1 4 2
NC_046221.1 17 40742 0 4 2
NC_046221.1 18 45512 0 4 3
NC_046221.1 19 43711 1 0 3
NC_046221.1 20 44291 1 5 0
NC_046221.1 21 46498 0 3 2
NC_046221.1 22 37000 2 2 3
NC_046221.1 23 44865 0 42 3
NC_046221.1 24 42362 0 1 2
NC_046221.1 25 46241 0 1 1
NC_046221.1 26 44990 2 3 2
NC_046221.1 27 44351 2 4 3
NC_046221.1 28 45778 0 2 3
NC_046221.1 29 47616 2 3 5
NC_046221.1 30 44237 0 3 1
NC_046221.1 31 44500 0 4 2
NC_046221.1 32 41562 0 1 4
NC_046221.1 33 47141 1 2 0
NC_046221.1 34 44976 1 7 2
NC_046221.1 35 39853 1 2 1
NC_046221.1 36 41539 0 2 0
NC_046221.1 37 46173 0 0 1
NC_046221.1 38 36210 3 1 1
NC_046221.1 39 49193 0 2 1
NC_046221.1 40 46215 3 3 3
NC_046221.1 41 43718 1 0 3
NC_046221.1 42 44427 0 2 5
NC_046221.1 43 42740 1 3 2
NC_046221.1 44 44191 4 4 3
NC_046221.1 45 45584 1 1 0
NC_046221.1 46 45730 0 1 1
NC_046221.1 47 41456 0 22 1
NC_046221.1 48 39010 0 8 1
NC_046221.1 49 34658 0 940 0
NC_046221.1 50 30671 0 1268 0
NC_046221.1 51 31737 0 1787 0
NC_046221.1 52 34000 0 1600 0
NC_046221.1 53 32136 0 1396 0
NC_046221.1 54 34545 0 238 0
NC_046221.1 55 25844 0 8 0
NC_046221.1 56 34588 0 215 0
NC_046221.1 57 38030 0 373 0
NC_046221.1 58 40841 0 46 0
NC_046221.1 59 45548 1 8 0
NC_046221.1 60 45889 2 0 0
NC_046221.1 61 48436 2 4 0
NC_046221.1 62 46447 2 2 1
NC_046221.1 63 42374 0 2 3
NC_046221.1 64 43093 3 2 2
NC_046221.1 65 45573 1 0 2
NC_046221.1 66 43505 1 2 2
NC_046221.1 67 43031 1 2 1
NC_046221.1 68 38828 0 1 1
NC_046221.1 69 44194 0 4 2
NC_046221.1 70 45552 1 5 1
NC_046221.1 71 43240 0 1 1
NC_046221.1 72 46037 2 2 6
NC_046221.1 73 43035 2 0 3
NC_046221.1 74 40136 3 1 4
NC_046221.1 75 35822 2 3 0
NC_046221.1 76 45437 1 3 2
NC_046221.1 77 46151 1 6 3
NC_046221.1 78 44692 1 3 2
NC_046221.1 79 44292 5 7 1
NC_046221.1 80 32697 0 5 2
NC_046221.1 81 31799 1 3 1
NC_046221.1 82 38933 2 13 4
NC_046221.1 83 36033 0 0 1
NC_046221.1 84 12382 1 3 0
NC_046221.1 85 39445 0 2 0
NC_046221.1 86 48496 0 0 2
NC_046221.1 87 47387 3 7 5
NC_046221.1 88 50589 0 4 0
NC_046221.1 89 50318 2 5 1
NC_046221.1 90 48235 1 3 0
NC_046221.1 91 50204 1 3 1
NC_046221.1 92 50444 0 2 2
NC_046221.1 93 45409 0 1 0
NC_046221.1 94 47981 1 3 2
NC_046221.1 95 44909 0 0 3
NC_046221.1 96 44334 1 2 6
NC_046221.1 97 46316 1 0 3
NC_046221.1 98 46728 1 3 10
NC_046221.1 99 45168 3 1 1
NC_046221.1 100 45320 1 3 3
NC_046221.1 101 39830 1 4 1
NC_046221.1 102 44444 1 2 1
NC_046221.1 103 48472 0 1 2
NC_046221.1 104 48494 0 3 1
NC_046221.1 105 44643 1 4 1
NC_046221.1 106 40892 1 0 2
NC_046221.1 107 45553 0 2 2
NC_046221.1 108 42482 0 2 3
NC_046221.1 109 38290 1 2 2
NC_046221.1 110 47311 0 0 2
NC_046221.1 111 46216 1 4 1
NC_046221.1 112 42416 0 2 2
NC_046221.1 113 46923 1 1 2
NC_046221.1 114 38100 1 0 1
NC_046221.1 115 37632 1 2 1
NC_046221.1 116 38425 1 3 0
NC_046221.1 117 45558 2 0 6
NC_046221.1 118 44311 0 0 3
NC_046221.1 119 44927 4 2 5
NC_046221.1 120 47730 2 3 0
NC_046221.1 121 47594 0 0 2
NC_046221.1 122 47101 0 1 2
NC_046221.1 123 42758 2 3 2
NC_046221.1 124 47039 0 1 2
NC_046221.1 125 43632 0 5 4
NC_046221.1 126 46006 4 2 2
NC_046221.1 127 43737 0 2 4
NC_046221.1 128 44751 0 1 6
NC_046221.1 129 46331 3 2 1
NC_046221.1 130 38231 0 1 0
NC_046221.1 131 32639 1 0 4
NC_046221.1 132 45984 0 1 4
NC_046221.1 133 49221 0 0 2
NC_046221.1 134 48087 1 1 1
NC_046221.1 135 45918 0 1 3
NC_046221.1 136 32017 5 4 3
NC_046221.1 137 42463 1 1 3
NC_046221.1 138 28227 3 2 2
NC_046221.1 139 44510 0 2 2
NC_046221.1 140 45002 2 1 0
NC_046221.1 141 46688 1 2 3
NC_046221.1 142 44145 0 1 4
NC_046221.1 143 30719 1 0 4
NC_046221.1 144 30152 0 2 2
NC_046221.1 145 44574 0 4 8
NC_046221.1 146 15967 0 1 0
NC_046221.1 147 16416 1 0 0
NC_046221.1 148 18938 1 3 0
NC_046221.1 149 40518 4 3 0
NC_046221.1 150 44746 1 1 3
NC_046221.1 151 45078 0 0 1
NC_046221.1 152 44559 1 0 1
NC_046221.1 153 40301 9 0 3
NC_046221.1 154 40410 1 1 4
NC_046221.1 155 29712 0 0 0
NC_046221.1 156 46586 1 1 4
NC_046221.1 157 22169 0 2 3
NC_046221.1 158 24798 0 4 4
NC_046221.1 159 46985 4 1 4
NC_046221.1 160 36956 1 1 3
NC_046221.1 161 43730 0 3 2
NC_046221.1 162 42840 2 5 3
NC_046221.1 163 44623 0 3 4
NC_046221.1 164 31320 0 2 1
NC_046221.1 165 24399 2 0 1
NC_046222.1 1 36072 0 28 0
NC_046222.1 2 39914 3 1 3
NC_046222.1 3 42669 0 3 1
NC_046222.1 4 33983 1 1 4
NC_046222.1 5 40478 0 2 2
NC_046222.1 6 43669 1 3 2
NC_046222.1 7 50986 3 2 0
NC_046222.1 8 49052 0 1 2
NC_046222.1 9 43679 4 4 1
NC_046222.1 10 47754 0 0 1
NC_046222.1 11 30051 5 0 7
NC_046222.1 12 36168 0 6 0
NC_046222.1 13 50793 1 7 1
NC_046222.1 14 45437 2 4 1
NC_046222.1 15 53297 0 4 4
NC_046222.1 16 49481 1 3 0
NC_046222.1 17 45683 0 5 3
NC_046222.1 18 41676 1 12 6
NC_046222.1 19 42276 1 3 0
NC_046222.1 20 40109 0 1 1
NC_046222.1 21 37440 0 137 0
NC_046222.1 22 35101 0 209 0
NC_046222.1 23 33241 0 179 0
NC_046222.1 24 36489 0 26 0
NC_046222.1 25 26384 10 16 1
NC_046222.1 26 27909 0 2 0
NC_046222.1 27 11957 0 2 1
NC_046222.1 28 37214 0 2 0
NC_046222.1 29 41730 0 1 1
NC_046222.1 30 41832 0 1 2
NC_046222.1 31 41228 0 5 2
NC_046222.1 32 42363 1 3 0
NC_046222.1 33 43663 2 1 1
